PharmGKB Accession Id	Name	Generic Names	Trade Names	Brand Mixtures	Type	Cross-references	SMILES	External Vocabulary
PA1000	phenformin	Beta-Pebg,Beta-Phenethybiguanide,Beta-Phenethylbiguanide,Fenformin,Fenformina [INN-Spanish],N-Phenethylbiguanide Hydrochloride,PEDG,Phenethylbiguanide Hydrochloride,Phenethyldiguanide,Phenformin HCl,Phenformin Hydrochloride,Phenformine,Phenformine HCl,Phenformine [INN-French],Phenforminum [INN-Latin],Phenoformine Hydrochloride,Phenylethylbiguanide	Azucaps,Cronoformin,D Bretard,DB Comb,DB-Retard,DBI,DBI Monohydrochloride,Debeone,Debinyl,Diabis,Dibein,Dibiraf,Dibotin,Dipar,Feguanide,Fenfoduron,Fenormin,Glukopostin,Glyphen,Insoral,Lentobetic,Meltrol,Meltrol-50,Normoglucina,Phenformix,Retardo		Drug/Small Molecule	TTD:DAP000206,bindingDb:50240908,chemSpider:7953,drugBank:DB00914,keggCompound:C07673,pubChemCompound:8249,pubChemSubstance:151385,pubChemSubstance:46505230,url:http://en.wikipedia.org/wiki/Phenformin	c1ccc(cc1)CCNC(=N)NC(=N)N	ATC:A10BA(Biguanides)
PA10004	adalimumab	Ig gamma-1 chain C region	Humira,Humira Pen		Drug/Small Molecule	TTD:DAP000392,dpd:2258595,drugBank:DB00051,genBank:J00228,ndc:0074-3799-02,uniProtKb:P01857,url:http://en.wikipedia.org/wiki/Adalimumab		ATC:L04AA(Selective immunosuppressants)
PA10005	adefovir dipivoxil	ADV,Adefovir,Adefovir pivoxil,Adefovirdipivoxl,GS-840,PMEA,adefovir dipivoxil,bis-POM PMEA	Hepsera,Preveon		Drug/Small Molecule	TTD:DNC001135,bindingDb:50038612,chemSpider:54855,drugBank:DB00718,keggDrug:D01655,ndc:61958-0501-1,pubChemCompound:60871,pubChemSubstance:46507520,pubChemSubstance:7848718,url:http://en.wikipedia.org/wiki/Adefovir		ATC:J05AF(Nucleoside and nucleotide reverse transcriptase inhibitors),MeSH:C106812(adefovir dipivoxil)
PA10015	aminolevulinic acid	5-aminolevulinic acid,ALA,Aminolevulinate,delta-Aminolevulinic acid	Aladerm,Kerastick,Levulan,Levulan Kerastick		Drug/Small Molecule	TTD:DAP000314,chebi:17549,chemSpider:134,drugBank:DB00855,keggCompound:C00430,ndc:67308-101-01,pubChemCompound:137,pubChemSubstance:3719,pubChemSubstance:46506856,url:http://en.wikipedia.org/wiki/Aminolevulinic_acid	CC(=O)CC(C(=O)O)N	ATC:L01XD(Sensitizers used in photodynamic/radiation therapy)
PA10026	aripiprazole	OPC 31,OPC-14597,aripiprazole	Abilify,Abilitat		Drug/Small Molecule	TTD:DAP000076,chebi:31236,chemSpider:54790,drugBank:DB01238,iupharLigand:34,keggCompound:C12564,keggDrug:D01164,ndc:59148-013-15,pubChemCompound:60795,pubChemSubstance:46505745,pubChemSubstance:582954,url:http://en.wikipedia.org/wiki/Aripiprazole	c1cc(c(c(c1)Cl)Cl)N2CCN(CC2)CCCCOc3ccc4c(c3)NC(=O)CC4	ATC:N05AX(Other antipsychotics),MeSH:C094645(aripiprazole)
PA10032	bivalirudin	Angiomax,bivalirudin	Angiomax,Angiox		Drug/Small Molecule	TTD:DAP000542,dpd:2246533,drugBank:DB00006,ndc:65293-001-01,pubChemCompound:16129704,pubChemSubstance:214065,url:http://en.wikipedia.org/wiki/Bivalirudin	[H]/N=C(\N)/NCCC[C@@H](C(=O)N1CCC[C@H]1C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](CC(=O)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC4=CC=C(C=C4)O)C(=O)N[C@@H](CC(C)C)C(=O)O)NC(=O)[C@@H]5CCCN5C(=O)[C@@H](CC6=CC=CC=C6)N	ATC:B01AE(Direct thrombin inhibitors)
PA10034	bosentan	Bosentan hydrate,bosentan	Tracleer		Drug/Small Molecule	TTD:DNC000341,chebi:51450,chemSpider:94651,dpd:2244982,drugBank:DB00559,keggDrug:D01227,ndc:66215-101-06,pubChemCompound:104865,pubChemSubstance:46507154,pubChemSubstance:682323,url:http://en.wikipedia.org/wiki/Bosentan		ATC:C02KX(Other antihypertensives),MeSH:C086232(bosentan)
PA10035	bromazepam	7-Bromo-5-(2-pyridyl)-3H-1,4-benzodiaxepin-2(1H)-one,7-Bromo-5-(2-pyridyl)-3H-1,4-benzodiazepin-2(1H)-one,Bromazepamum [inn-latin]	Apo-Bromazepam,Calmepam,Compedium,Compendium,Creosedin,Durazanil,Gen-Bromazepam,Lectopam,Lekotam,Lexaurin,Lexilium,Lexomil,Lexotan,Lexotanil,Normoc,Novo-bromazepam,Nu-Bromazepam,Somalium,Ultramidol		Drug/Small Molecule	TTD:DAP001035,chemSpider:2347,dpd:518123,drugBank:DB01558,keggDrug:D01245,pubChemCompound:2441,pubChemSubstance:10476910,pubChemSubstance:46505694,url:http://en.wikipedia.org/wiki/Bromazepam	c1ccnc(c1)C2=NCC(=O)Nc3c2cc(cc3)Br	
PA10040	cetuximab	Anti EGFR,IMC-C225,cetuximab	Erbitux		Drug/Small Molecule	TTD:DNC000788,drugBank:DB00002,genBank:J00228,ndc:66733-948-23,url:http://en.wikipedia.org/wiki/Cetuximab		ATC:L01XC(Monoclonal antibodies)
PA10049	cyproterone	Cyproterone acetate	Androcur,Apo-cyproterone,CyPat,Gen-Cyproterone,Novo-cyproterone	"Diane-35 (Cyproterone Acetate + Ethinyl Estradiol)",	Drug/Small Molecule	TTD:DAP000906,chebi:50742,chemSpider:4447594,dpd:704423,drugBank:DB04839,pubChemCompound:5284537,pubChemSubstance:11039334,pubChemSubstance:46506931,url:http://en.wikipedia.org/wiki/Cyproterone		ATC:G03HA(Antiandrogens, plain)
